id,Name,X ,Y ,Population ,ожидаемая продолжительность жизни при рождении,"плотность населения, чел./км²"
1,Амстердам ,4.905848675071602,52.366406834913555,922679,"81,2",4768
2,Роттердам ,4.468845797852047,51.92321363329432,664311,80,1933
3,Гаага ,4.289946017457591,52.071117742987376,562446,"80,7",6635
4,Утрехт ,5.094841507940728,52.09166671846335,368024,"81,3",3097
5, Эйндховен,5.461800325187367,51.45564475610645,243669,"80,9",2740
6,Гронинген,6.560877435646331,53.22248757017021,238016,80,2404
7,Тилбург,5.0613389225490755,51.56071641395559,227794,80,1805
8,Алмере ,5.265996751404904,52.39962193348697,223183,82,1369
9,Бреда ,4.770511527868435,51.586273771890106,186504,"81,5",1344
10,Неймеген,5.848080284122745,51.84461141854835,182399,"80,2",3084
11,Апелдорн,5.975387268715644,52.21173104309489,167205,81,460
12,Арнем ,5.930234699691557,51.99197324488863,165896,"79,8",1521
13,Харлем,4.642532965527328,52.382296371113654,165650,81,"4853,79"
14,Харлеммермер,4.688917167649812,52.29608078654596,162344,82,800
15,Энсхеде,6.888424490397554,52.21181124057033,161194,"79,6",1121
